alias,code,vendor_type,vendor_code,vendor_country_code,language
Shashi,CHN042010000,citsae,SHS,CN,en_us
Xian,CHN061001000,citsae,SIA,CN,en_us
Shijiazhuang,CHN013001000,citsae,SJW,CN,en_us
Shantou,CHN044052000,citsae,SWA,CN,en_us
Sanya,CHN046002000,citsae,SYX,CN,en_us
Rizhao,CHN037011000,citsae,00F,CN,en_us
Tacheng,CHN065042000,citsae,TCG,CN,en_us
Tengchong,CHN053005022,citsae,TCZ,CN,en_us
Tongren,CHN052022001,citsae,TEN,CN,en_us
Tongliao,CHN015005000,citsae,TGO,CN,en_us
Tianshui,CHN062005000,citsae,THQ,CN,en_us
Turpan,CHN065021000,citsae,TLQ,CN,en_us
Jinan,CHN037001000,citsae,TNA,CN,en_us
Tonghua,CHN022005000,citsae,TNH,CN,en_us
Tianjin,CHN012000000,citsae,TSN,CN,en_us
Tangshan,CHN013002000,citsae,TVS,CN,en_us
Taiyuan,CHN014001000,citsae,TYN,CN,en_us
Urumqi,CHN065001000,citsae,URC,CN,en_us
Weifang,CHN037007000,citsae,WEF,CN,en_us
Weihai,CHN037010000,citsae,WEH,CN,en_us
Wenshan,CHN053026000,citsae,WNH,CN,en_us
Wenzhou,CHN033003000,citsae,WNZ,CN,en_us
Wuhai,CHN015003000,citsae,WUA,CN,en_us
Wuhan,CHN042001000,citsae,WUH,CN,en_us
Wuyishan,CHN035007082,citsae,WUS,CN,en_us
Wuzhou,CHN045004000,citsae,WUZ,CN,en_us
Wanxian,CHN050001000,citsae,WXN,CN,en_us
Xilinhot,CHN015025002,citsae,XIL,CN,en_us
Xiamen,CHN035002000,citsae,XMN,CN,en_us
Xining,CHN063001000,citsae,XNN,CN,en_us
Xuzhou,CHN032003000,citsae,XUZ,CN,en_us
Yibin,CHN051015000,citsae,YBP,CN,en_us
Yuncheng,CHN014008000,citsae,00J,CN,en_us
Aershan,CHN015022002,citsae,YIE,CN,en_us
Yichang,CHN042005000,citsae,YIH,CN,en_us
Yilan,CHN023001023,citsae,YLN,CN,en_us
Yanji,CHN022024001,citsae,YNJ,CN,en_us
Yantai,CHN037006000,citsae,YNT,CN,en_us
Yancheng,CHN032009000,citsae,YNZ,CN,en_us
Yuanmou,CHN053023028,citsae,YUA,CN,en_us
Yushu（Qinghai）,CHN063027000,citsae,YUS,CN,en_us
Zhangye,CHN062007000,citsae,YZY,CN,en_us
Zhaotong,CHN053006000,citsae,ZAT,CN,en_us
Zhanjiang,CHN044008000,citsae,ZHA,CN,en_us
Zhongwei,CHN064005000,citsae,ZHY,CN,en_us
Zhangjiakou,CHN013007000,citsae,ZQZ,CN,en_us
Zhuhai,CHN044004000,citsae,ZUH,CN,en_us
Zunyi,CHN052003000,citsae,ZYI,CN,en_us
Linfen,CHN014010000,citsae,YCU,CN,en_us
Lvliang,CHN014011000,citsae,018,CN,en_us
Ordos,CHN015006000,citsae,DSN,CN,en_us
Wulanchabu,CHN015009000,citsae,01J,CN,en_us
Yingkou,CHN021008000,citsae,01V,CN,en_us
Yangzhou,CHN032010000,citsae,YTY,CN,en_us
Wuxi,CHN032002000,citsae,WUX,CN,en_us
Jinhua,CHN033007082,citsae,YIW,CN,en_us
Huangshan,CHN034010000,citsae,TXN,CN,en_us
Fuyang（Anhui）,CHN034012000,citsae,FUG,CN,en_us
Yichun（Jiangxi）,CHN036008081,citsae,JGS,CN,en_us
Qingdao,CHN037002000,citsae,TAO,CN,en_us
Zaozhuang,CHN037008000,citsae,JNG,CN,en_us
Shiyan,CHN042003000,citsae,05E,CN,en_us
Meizhou,CHN044014000,citsae,MXZ,CN,en_us
Daocheng,CHN051033037,citsae,0MS,CN,en_us
Liangshanzhou,CHN051034001,citsae,XIC,CN,en_us
Kaili,CHN052026001,citsae,0LP,CN,en_us
Libo,CHN052027022,citsae,0LM,CN,en_us
Liupanshui,CHN052002000,citsae,07Z,CN,en_us
Bijie,CHN052024000,citsae,080,CN,en_us
Liping（Qiandongnan）,CHN052026031,citsae,HZH,CN,en_us
Lijiang,CHN053007000,citsae,LJG,CN,en_us
Dehongzhou,CHN053031000,citsae,LUM,CN,en_us
Pingliang,CHN062010000,citsae,IQN,CN,en_us
Gannan,CHN062030027,citsae,08O,CN,en_us
Delingha,CHN063028002,citsae,094,CN,en_us
Haixizhou,CHN063029000,citsae,09D,CN,en_us
Yili,CHN065040002,citsae,YIN,CN,en_us
Aletai,CHN065043000,citsae,AAT,CN,en_us
Chengdu,CHN051001000,citsae,CTU,CN,en_us
Fuyuan,CHN023008033,citsae,9EG,CN,en_us
Ninglang,CHN053007024,citsae,9HU,CN,en_us
百色,CHN045010000,citsae,AEB,CN,zh_cn
安康,CHN061009000,citsae,AKA,CN,zh_cn
阿克苏,CHN065029000,citsae,AKU,CN,zh_cn
鞍山,CHN021003000,citsae,AOG,CN,zh_cn
安庆,CHN034008000,citsae,001,CN,zh_cn
安顺（黄果树）,CHN052004000,citsae,AVA,CN,zh_cn
包头,CHN015002000,citsae,BAV,CN,zh_cn
北海,CHN045005000,citsae,BHY,CN,zh_cn
北京,CHN011000000,citsae,BJS,CN,zh_cn
博乐,CHN065027001,citsae,BPL,CN,zh_cn
昌都,CHN054021000,citsae,BPX,CN,zh_cn
保山,CHN053005000,citsae,BSD,CN,zh_cn
广州,CHN044001000,citsae,CAN,CN,zh_cn
常德,CHN043007000,citsae,CGD,CN,zh_cn
郑州,CHN041001000,citsae,CGO,CN,zh_cn
长春,CHN022001000,citsae,CGQ,CN,zh_cn
朝阳,CHN011005000,citsae,CHG,CN,zh_cn
赤峰,CHN015004000,citsae,CIF,CN,zh_cn
长治,CHN014004000,citsae,CIH,CN,zh_cn
重庆,CHN050000000,citsae,CKG,CN,zh_cn
长海,CHN021002024,citsae,CNI,CN,zh_cn
长沙,CHN043001000,citsae,CSX,CN,zh_cn
常州,CHN032004000,citsae,CZX,CN,zh_cn
大同,CHN014002000,citsae,DAT,CN,zh_cn
丹东,CHN021006000,citsae,DDG,CN,zh_cn
迪庆州,CHN053034000,citsae,DIG,CN,zh_cn
大连,CHN021002000,citsae,DLC,CN,zh_cn
大理,CHN053029000,citsae,DLU,CN,zh_cn
敦煌,CHN062009082,citsae,DNH,CN,zh_cn
东营,CHN037005000,citsae,DOY,CN,zh_cn
大庆,CHN023006000,citsae,DQA,CN,zh_cn
张家界,CHN043008000,citsae,DYG,CN,zh_cn
恩施,CHN042028000,citsae,ENH,CN,zh_cn
延安,CHN061006000,citsae,ENY,CN,zh_cn
二连浩特,CHN015025001,citsae,ERL,CN,zh_cn
福州,CHN035001000,citsae,FOC,CN,zh_cn
佛山,CHN044006000,citsae,FUO,CN,zh_cn
深圳,CHN044003000,citsae,SZX,CN,zh_cn
富蕴,CHN065043022,citsae,FYN,CN,zh_cn
格尔木,CHN063028001,citsae,GOQ,CN,zh_cn
广元,CHN051008000,citsae,GYS,CN,zh_cn
固原,CHN064004000,citsae,GYU,CN,zh_cn
海口,CHN046001000,citsae,HAK,CN,zh_cn
邯郸,CHN013004000,citsae,HDG,CN,zh_cn
黑河,CHN023011000,citsae,HEK,CN,zh_cn
呼和浩特,CHN015001000,citsae,HET,CN,zh_cn
合肥,CHN034001000,citsae,HFE,CN,zh_cn
杭州,CHN033001000,citsae,HGH,CN,zh_cn
淮安,CHN032008000,citsae,HIA,CN,zh_cn
怀化,CHN043012000,citsae,HJJ,CN,zh_cn
乌兰浩特,CHN015022001,citsae,HLH,CN,zh_cn
哈密,CHN065022001,citsae,HMI,CN,zh_cn
衡阳,CHN043004000,citsae,HNY,CN,zh_cn
哈尔滨,CHN023001000,citsae,HRB,CN,zh_cn
舟山,CHN033009000,citsae,HSN,CN,zh_cn
和田,CHN065032000,citsae,HTN,CN,zh_cn
惠州,CHN044013000,citsae,HUZ,CN,zh_cn
台州,CHN033010000,citsae,HYN,CN,zh_cn
汉中,CHN061007000,citsae,HZG,CN,zh_cn
银川,CHN064001000,citsae,INC,CN,zh_cn
且末,CHN065028025,citsae,IQM,CN,zh_cn
景德镇,CHN036002000,citsae,JDZ,CN,zh_cn
加格达奇,CHN023028000,citsae,JGD,CN,zh_cn
嘉峪关,CHN062002000,citsae,JGN,CN,zh_cn
金昌,CHN062003000,citsae,JIC,CN,zh_cn
黔江,CHN050039000,citsae,JIQ,CN,zh_cn
九江,CHN036004000,citsae,JIU,CN,zh_cn
泉州,CHN035005082,citsae,JJN,CN,zh_cn
佳木斯,CHN023008000,citsae,JMU,CN,zh_cn
锦州,CHN021007000,citsae,JNZ,CN,zh_cn
池州,CHN034017000,citsae,JUH,CN,zh_cn
衢州,CHN033008000,citsae,JUZ,CN,zh_cn
鸡西,CHN023003000,citsae,JXA,CN,zh_cn
库车,CHN065029023,citsae,KCA,CN,zh_cn
喀什,CHN065031000,citsae,KHG,CN,zh_cn
南昌,CHN036001000,citsae,KHN,CN,zh_cn
喀纳斯,CHN065096000,citsae,KJI,CN,zh_cn
昆明,CHN053001000,citsae,KMG,CN,zh_cn
赣州,CHN036007000,citsae,KOW,CN,zh_cn
库尔勒,CHN065028001,citsae,KRL,CN,zh_cn
克拉玛依,CHN065002000,citsae,KRY,CN,zh_cn
贵阳,CHN052001000,citsae,KWE,CN,zh_cn
桂林,CHN045003000,citsae,KWL,CN,zh_cn
龙岩,CHN035008000,citsae,LCX,CN,zh_cn
伊春,CHN023007000,citsae,LDS,CN,zh_cn
光化,CHN042097000,citsae,LHK,CN,zh_cn
永州,CHN043011000,citsae,LLF,CN,zh_cn
临沧,CHN053009000,citsae,LNJ,CN,zh_cn
庐山,CHN036004002,citsae,LUZ,CN,zh_cn
拉萨,CHN054001000,citsae,LXA,CN,zh_cn
临西,CHN015004024,citsae,LXI,CN,zh_cn
洛阳,CHN041003000,citsae,LYA,CN,zh_cn
连云港,CHN032007000,citsae,LYG,CN,zh_cn
临沂,CHN037013000,citsae,LYI,CN,zh_cn
柳州,CHN045002000,citsae,LZH,CN,zh_cn
泸州,CHN051005000,citsae,LZO,CN,zh_cn
林芝,CHN054026000,citsae,LZY,CN,zh_cn
牡丹江,CHN023010000,citsae,MDG,CN,zh_cn
绵阳,CHN051007000,citsae,MIG,CN,zh_cn
南充（遂宁）,CHN051013000,citsae,NAO,CN,zh_cn
长白山,CHN022025000,citsae,NBS,CN,zh_cn
齐齐哈尔,CHN023002000,citsae,NDG,CN,zh_cn
宁波,CHN033002000,citsae,NGB,CN,zh_cn
阿里,CHN054025000,citsae,NGQ,CN,zh_cn
南京,CHN032001000,citsae,NKG,CN,zh_cn
那拉提,CHN065097000,citsae,NLT,CN,zh_cn
南宁,CHN045001000,citsae,NNG,CN,zh_cn
南阳,CHN041013000,citsae,NNY,CN,zh_cn
南通,CHN032006000,citsae,NTG,CN,zh_cn
满洲里,CHN015007081,citsae,NZH,CN,zh_cn
漠河,CHN023027023,citsae,OHE,CN,zh_cn
上海,CHN031000000,citsae,SHA,CN,zh_cn
攀枝花,CHN051004000,citsae,PZI,CN,zh_cn
日喀则,CHN054023000,citsae,RKZ,CN,zh_cn
