alias,code,vendor_type,vendor_code
阿尔山,CHN015022002,meiya_air,YIE
阿克苏,CHN065029001,meiya_air,AKU
阿勒泰,CHN065043001,meiya_air,AAT
阿里,CHN054025000,meiya_air,NGQ
安康,CHN061009000,meiya_air,AKA
安庆,CHN034008000,meiya_air,AQG
安顺,CHN052004000,meiya_air,AVA
鞍山,CHN021003000,meiya_air,AOG
巴彦淖尔,CHN015008000,meiya_air,RLK
百色,CHN045010000,meiya_air,AEB
蚌埠,CHN034003000,meiya_air,BFU
包头,CHN015002000,meiya_air,BAV
保山,CHN053005000,meiya_air,BSD
北海,CHN045005000,meiya_air,BHY
北京,CHN011000000,meiya_air,222
博乐,CHN065027001,meiya_air,BPL
昌都,CHN054021021,meiya_air,BPX
长白山,CHN022025000,meiya_air,NBS
长春,CHN022001000,meiya_air,CGQ
长治,CHN014004021,meiya_air,CIH
常德,CHN043007000,meiya_air,CGD
常州,CHN032004000,meiya_air,CZX
朝阳,CHN021013021,meiya_air,CHG
成都,CHN051001000,meiya_air,CTU
赤峰,CHN015004000,meiya_air,CIF
达县,CHN051017021,meiya_air,DAX
大理,CHN053029001,meiya_air,DLU
大连,CHN021002000,meiya_air,DLC
大庆,CHN023006000,meiya_air,DQA
大同,CHN014002027,meiya_air,DAT
丹东,CHN021006000,meiya_air,DDG
迪庆香格里拉,CHN053034021,meiya_air,DIG
东营,CHN037005002,meiya_air,DOY
敦煌,CHN062009082,meiya_air,DNH
鄂尔多斯,CHN015006000,meiya_air,DSN
恩施,CHN042028001,meiya_air,ENH
二连浩特,CHN015025001,meiya_air,ERL
佛山,CHN044006000,meiya_air,FUO
福州,CHN035001000,meiya_air,FOC
阜阳,CHN034012000,meiya_air,FUG
富蕴,CHN065043022,meiya_air,FYN
赣州,CHN036007000,meiya_air,KOW
格尔木,CHN063028001,meiya_air,GOQ
固原,CHN064004000,meiya_air,GYU
光化,CHN042097000,meiya_air,LHK
广汉,CHN051006081,meiya_air,GHN
广元,CHN051008000,meiya_air,GYS
广州,CHN044001000,meiya_air,CAN
贵阳,CHN052001000,meiya_air,KWE
桂林,CHN045003000,meiya_air,KWL
哈尔滨,CHN023001000,meiya_air,HRB
哈密,CHN065022001,meiya_air,HMI
海口,CHN046001000,meiya_air,HAK
海拉尔,CHN015007002,meiya_air,HLD
邯郸,CHN013004021,meiya_air,HDG
汉中,CHN061007000,meiya_air,HZG
杭州,CHN033001000,meiya_air,HGH
合肥,CHN034001000,meiya_air,HFE
和田,CHN065032021,meiya_air,HTN
黑河,CHN023011000,meiya_air,HEK
衡阳,CHN043004021,meiya_air,HNY
呼和浩特,CHN015001000,meiya_air,HET
怀化(芷江),CHN043012028,meiya_air,HJJ
淮安,CHN032008003,meiya_air,HIA
黄山,CHN034010003,meiya_air,TXN
黄岩(台州),CHN033010003,meiya_air,HYN
鸡西,CHN023003000,meiya_air,JXA
吉林,CHN022002000,meiya_air,JIL
济南,CHN037001000,meiya_air,TNA
济宁,CHN037008000,meiya_air,JNG
加格达奇,CHN023028000,meiya_air,JGD
佳木斯,CHN023008000,meiya_air,JMU
嘉峪关,CHN062002000,meiya_air,JGN
金昌,CHN062003000,meiya_air,JIC
锦州,CHN021007000,meiya_air,JNZ
晋江,CHN035005082,meiya_air,JJN
井冈山,CHN036008081,meiya_air,JGS
景德镇,CHN036002000,meiya_air,JDZ
景洪(西双版纳),CHN053028001,meiya_air,JHG
九江,CHN036004021,meiya_air,JIU
九寨沟,CHN051032025,meiya_air,JZH
酒泉,CHN062009000,meiya_air,CHW
喀什,CHN065031001,meiya_air,KHG
康定,CHN051033021,meiya_air,KGT
克拉玛依,CHN065002003,meiya_air,KRY
库车,CHN065029023,meiya_air,KCA
库尔勒,CHN065028001,meiya_air,KRL
昆明,CHN053001000,meiya_air,KMG
拉萨,CHN054001000,meiya_air,LXA
兰州,CHN062001000,meiya_air,LHW
黎平,CHN052026031,meiya_air,HZH
丽江,CHN053007000,meiya_air,LJG
荔波,CHN052027022,meiya_air,LLB
连城,CHN035008025,meiya_air,LCX
连云港,CHN032007000,meiya_air,LYG
梁平,CHN050028000,meiya_air,LIA
林西,CHN015004024,meiya_air,LXI
林芝,CHN054026021,meiya_air,LZY
临沧,CHN053009000,meiya_air,LNJ
临沂,CHN037013000,meiya_air,LYI
零凌(永州),CHN043011002,meiya_air,LLF
柳州,CHN045002000,meiya_air,LZH
泸州,CHN051005000,meiya_air,LZO
洛阳,CHN041003000,meiya_air,LYA
