alias,code,vendor_type,vendor_code
Tongren,CHN052022001,meiya_air,TEN
Wanzhou,CHN050001000,meiya_air,WXN
Weihai,CHN037010000,meiya_air,WEH
Weifang,CHN037007000,meiya_air,WEF
wenzhou,CHN033003000,meiya_air,WNZ
WenShan,CHN053026021,meiya_air,WNH
Wuhai,CHN015003000,meiya_air,WUA
Wulanhaote,CHN015022001,meiya_air,HLH
Wuxi,CHN032002000,meiya_air,WUX
Wuzhou,CHN045004000,meiya_air,WUZ
Wuhan,CHN042001000,meiya_air,WUH
Wuyishan,CHN035007082,meiya_air,WUS
Xichang,CHN051034001,meiya_air,XIC
Xining,CHN063001000,meiya_air,XNN
Xilinhaote,CHN015025002,meiya_air,XIL
Xiamen,CHN035002000,meiya_air,XMN
Xiangyang,CHN042006000,meiya_air,XFN
Xingyi,CHN052023001,meiya_air,ACX
Xuzhou,CHN032003000,meiya_air,XUZ
Yantai,CHN037006000,meiya_air,YNT
Yanan,CHN061006000,meiya_air,ENY
Yanji,CHN022024001,meiya_air,YNJ
Yancheng,CHN032009000,meiya_air,YNZ
Yangzhou,CHN032010000,meiya_air,YTY
YiChun,CHN023007002,meiya_air,LDS
Yili,CHN065040021,meiya_air,YIN
Yibin,CHN051015021,meiya_air,YBP
Yichang,CHN042005000,meiya_air,YIH
YiChun,CHN036009000,meiya_air,YIC
Yiwu,CHN033007082,meiya_air,YIW
Yinchuan,CHN064001000,meiya_air,INC
Yulin,CHN061008000,meiya_air,UYN
Yushu,CHN063027021,meiya_air,YUS
Yuncheng,CHN014008000,meiya_air,YCU
Yingkou,CHN021008000,meiya_air,YKH
Zhanjiang,CHN044008000,meiya_air,ZHA
Zhangjiajie,CHN043008000,meiya_air,DYG
ZhangJiaKou,CHN013007000,meiya_air,ZQZ
Zhangye,CHN062007000,meiya_air,YZY
Zhaotong,CHN053006000,meiya_air,ZAT
Zhengzhou,CHN041001000,meiya_air,CGO
ZhongShan,CHN021002002,meiya_air,ZGN
Zhongwei,CHN064005000,meiya_air,ZHY
Chongqing,CHN050000000,meiya_air,CKG
Zhoushan,CHN033009000,meiya_air,HSN
Zhuhai,CHN044004000,meiya_air,ZUH
Zunyi,CHN052003021,meiya_air,ZYI
Kanas,CHN065096000,meiya_air,KJI
ChiZhou,CHN034017000,meiya_air,JUH
BiJie,CHN052024001,meiya_air,BFJ
DaoChengYaDing,CHN051033037,meiya_air,DCY
ShenNongJia,CHN042A21000,meiya_air,HPG
DeLingHa,CHN063028002,meiya_air,HXD
LVLIANG,CHN014011000,meiya_air,LLV
KAILI,CHN052026001,meiya_air,KJH
LIUPANSHUI,CHN052002000,meiya_air,LPF
XiaHe,CHN062030027,meiya_air,GXH
HUIZHOU,CHN044013000,meiya_air,HUZ
ALASHANYOUQI,CHN015029022,meiya_air,RHT
ALASHANZUOQI,CHN015029021,meiya_air,AXF
Ninglang,CHN053007024,meiya_air,NLH
Shiyan,CHN042003000,meiya_air,WDS
LinFen,CHN014010000,meiya_air,LFQ
HeChi,CHN045012000,meiya_air,HCJ
XinZhou,CHN014009000,meiya_air,WUT
Puer,CHN053008000,meiya_air,SYM
