alias,code,vendor_type
Stuttgart,DEU000STR000,ctrip_air
Abu Dhabi,ARE0000AZ000,ctrip_air
Rio de Janeiro,BRA0000RJ000,ctrip_air
Montevideo,URY0000MO000,ctrip_air
Pittsburgh,USA0PAPIT000,ctrip_air
Valladolid,ESP000001000,ctrip_air
Santiago,ESP000002000,ctrip_air
Nice,FRA000NCE000,ctrip_air
Belfast,GBRNIRBFS000,ctrip_air
Guernsey,GBR000001000,ctrip_air
Glasgow,GBRSCTGLG000,ctrip_air
karnaugh,NGA000KAN000,ctrip_air
Lagos,NGA000LOS000,ctrip_air
Mauritius,MUS000000000,ctrip_air
Vilnius,LTU0000VI000,ctrip_air
Riyadh,SAU0000RD000,ctrip_air
Sofia City,BGR000GSO000,ctrip_air
Kabul,AFG000KBL000,ctrip_air
Kingstown,JAM000KIN000,ctrip_air
Baida,LBY000001000,ctrip_air
St.Petersburg,RUS000SPE000,ctrip_air
Lahore,PAK000LHE000,ctrip_air
Hakodate,JPN000052000,ctrip_air
Jeddah,SAU000JED000,ctrip_air
Dublin,IRL0000DB000,ctrip_air
Graz,AUT000001000,ctrip_air
Buenos Aires,ARG000BUE000,ctrip_air
Casablanca,MAR000CBL000,ctrip_air
Colombo,LKA000CMB000,ctrip_air
Colombo,USA000CMB000,ctrip_air
Caracas,VEN00000A000,ctrip_air
Cancun,MEX000001000,ctrip_air
Cuzco,PER0000CU000,ctrip_air
Dar es Salaam,TZA0000DS000,ctrip_air
Linz,AUT000002000,ctrip_air
Lusaka,ZMB0000LK000,ctrip_air
Faisalabad,PAK000LYP000,ctrip_air
Mombasa,KEN000MOM000,ctrip_air
Benghazi,LBY000002000,ctrip_air
Bergen,NOR000021000,ctrip_air
Nairobi,KEN0000NA000,ctrip_air
Oporto,PRT000VDP000,ctrip_air
Oslo City,NOR000003000,ctrip_air
Peshawar,PAK000PEW000,ctrip_air
Kirk,IRL0000CK000,ctrip_air
berne,CHE0000BE000,ctrip_air
Beirut,LBN0000BA000,ctrip_air
Lima,PER0000LI000,ctrip_air
Bristol,GBRENGBST000,ctrip_air
Damascus City,SYR0000DI000,ctrip_air
Faru,PRT000FAO000,ctrip_air
Luanda,AGO000LUA000,ctrip_air
Kinshasa,COD000001000,ctrip_air
Kisangani,COD000002000,ctrip_air
Djibouti,DJI000000000,ctrip_air
Pretoria,ZAF000PRY000,ctrip_air
Harare,ZWE0000HA000,ctrip_air
Sanaa,YEM0000SN000,ctrip_air
Santiago,CHL0000RM000,ctrip_air
Minsk,BLR0000MI000,ctrip_air
Dakar,SEN0000DA000,ctrip_air
Gaborone,BWA000001000,ctrip_air
Niamey,NER000NIM000,ctrip_air
Niigata,JPN000053000,ctrip_air
Naha,IDN000003000,ctrip_air
Tokushima,JPN000054000,ctrip_air
Kochi,JPN000039000,ctrip_air
Ishigaki,JPN000055000,ctrip_air
Shizuoka,JPN000022000,ctrip_air
Reno,USA0NVRNO000,ctrip_air
El Paso,USA0TXELP000,ctrip_air
Austen,USA0TXAUS000,ctrip_air
Milwaukee,USA0WIMKE000,ctrip_air
Kansas City,USA0KSKCK000,ctrip_air
St. Louis,USA0MOSTL000,ctrip_air
Cincinnati,USA0OHCVG000,ctrip_air
Cleveland,USAAP0001000,ctrip_air
New Orleans,USA0LAMSY000,ctrip_air
Rolando,USA0FLORL000,ctrip_air
Key West,USA0FLEYW000,ctrip_air
Philadelphia,USA0PAPHL000,ctrip_air
Santa Barbara,USA0CASBA000,ctrip_air
Tucson,USA0AZTUC000,ctrip_air
San Antonio,USA0TXSAT000,ctrip_air
Cambridge,GBRENGCAM000,ctrip_air
Aberdeen,GBRSCTABD000,ctrip_air
Dundee,ZAF000DUN000,ctrip_air
Nottingham,GBRENGNGM000,ctrip_air
Male,MDV000MAL000,ctrip_air
Gold Coast,AUSQLDOOL000,ctrip_air
Dayton,USA0OHDYT000,ctrip_air
Izmir,TUR000IZM000,ctrip_air
Antalya,TUR000ANT000,ctrip_air
Ankara,TUR000ANK000,ctrip_air
Koh Samui,THA000002000,ctrip_air
Lisbon,PRT000LIS000,ctrip_air
Memphis,USA0TNMEM000,ctrip_air
Chennai,IND000MAA000,ctrip_air
Minneapolis,USA0MNMES000,ctrip_air
Cebu,PHL000CEB000,ctrip_air
Bologna,ITA000BLQ000,ctrip_air
Columbus,USA0GACZX000,ctrip_air
Khalffah Kors,CAN000001000,ctrip_air
Adelaide,AUS0SAADL000,ctrip_air
Edmonton,CAN000EDM000,ctrip_air
Hannover,DEU000HAJ000,ctrip_air
Kuantan,MYS0PGKUA000,ctrip_air
San Jose,CRI0000SJ000,ctrip_air
Acapulco,MEX000ACA000,ctrip_air
Guadalajara,MEX000GDL000,ctrip_air
La Paz,BOL000LPB000,ctrip_air
Brasilia,BRA000BSB000,ctrip_air
Manaus,BRA000001000,ctrip_air
Recife,BRA000002000,ctrip_air
Naples,ITA000NAP000,ctrip_air
Turin,ITA000TRN000,ctrip_air
Malta,MLT000000000,ctrip_air
Parma,ITA000PMF000,ctrip_air
Malaga,ESP000AGP000,ctrip_air
Birmingham,GBRENGBIR000,ctrip_air
Algiers,DZA000ALG000,ctrip_air
Conakry,GIN000CNK000,ctrip_air
Kigali,RWA0000KV000,ctrip_air
Durban,ZAF000DUR000,ctrip_air
Khartoum,SDN000KRT000,ctrip_air
Tunisia,TUN000000000,ctrip_air
Amman,JOR0000AM000,ctrip_air
Omsk,RUS000OMS000,ctrip_air
Oita,JPN000044000,ctrip_air
Daegu,KOR027000000,ctrip_air
Newcastle,GBRENGNCL000,ctrip_air
Jacksonville,USA0FLJAX000,ctrip_air
Indianapolis,USA0ININD000,ctrip_air
Louisville,USAAP0002000,ctrip_air
alicante,ESP000ALC000,ctrip_air
Montpelier,FRA000MPL000,ctrip_air
Dahlem Tis Vallee,GBR000002000,ctrip_air
Leipzig,DEU000LEJ000,ctrip_air
Dunedin,NZL000DUD000,ctrip_air
Buffalo,USA0NYFFO000,ctrip_air
Asturias,ESP000003000,ctrip_air
Pisa,ITA000PSA000,ctrip_air
Sarajevo,BIH000FSA000,ctrip_air
Sevilla,ESP000SVQ000,ctrip_air
Valencia,ESP000004000,ctrip_air
Ercan,CYP000007000,ctrip_air
Strasbourg,FRA000001000,ctrip_air
Bangalore,IND000BLR000,ctrip_air
Da Nang,VNM000001000,ctrip_air
Chittagong,BGD000CGP000,ctrip_air
Bremen,DEU0000HB000,ctrip_air
Marrakech,MAR000MRK000,ctrip_air
Toulouse,FRA000TLS000,ctrip_air
Thiruvananthapuram,IND000002000,ctrip_air
Hyderabad,IND000003000,ctrip_air
Kutcher,IND000004000,ctrip_air
Siem Reap,KHM000REP000,ctrip_air
Alor Setar,MYS000001000,ctrip_air
Ipoh,MYS0PKIPH000,ctrip_air
Johor,MYS0JHJHB000,ctrip_air
Kota Bharu,MYS0KNKBR000,ctrip_air
Balikpapan,IDN000004000,ctrip_air
Menado,IDN000005000,ctrip_air
Medan,IDN000006000,ctrip_air
Lahad datu,MYS000002000,ctrip_air
Sandakan,MYS0SBSDK000,ctrip_air
Bintulu,MYS0SRBTU000,ctrip_air
Kuching,MYS0SRKCH000,ctrip_air
Rabouin,MYS000003000,ctrip_air
Miyako Island,JPN000056000,ctrip_air
Tawau,MYS0SBTAW000,ctrip_air
Pontianak,IDN000007000,ctrip_air
Sibu,MYS0SRSBW000,ctrip_air
Lombok,IDN000008000,ctrip_air
Jesselton,MYS000004000,ctrip_air
Trieste,ITA000TRS000,ctrip_air
London,USA0PAAEW000,ctrip_air
Santa Ana,USAAP0003000,ctrip_air
Madison,USAAP0004000,ctrip_air
Kelowna,CAN000002000,ctrip_air
Tampa,USA0FLTPA000,ctrip_air
Spokane,USA0WAGEG000,ctrip_air
Doha,QAT0000DW000,ctrip_air
Lexington,USAAP0005000,ctrip_air
Fredericton,CAN000003000,ctrip_air
Boyoute,USAAP0006000,ctrip_air
Krabi,THA000081000,ctrip_air
Rowley,USA0NCRAG000,ctrip_air
Kiel,DEU000KEL000,ctrip_air
Katowice,POL000001000,ctrip_air
Dresden,DEU000001000,ctrip_air
Port Frederick,DEU000002000,ctrip_air
Munster,DEU000003000,ctrip_air
Augsburg,DEU000AGB000,ctrip_air
Pateboen,DEU000004000,ctrip_air
Krapina zagorje,HRV000001000,ctrip_air
Catania,ITA000CTA000,ctrip_air
Norfolk Island,NFK000000000,ctrip_air
Colorado Spring,USAAP0007000,ctrip_air
Omaha,USA0NEOMA000,ctrip_air
Columbia,USA0SCCOV000,ctrip_air
Rimini,ITA000001000,ctrip_air
Ancona,ITA000AOI000,ctrip_air
Barry,ITA000BRI000,ctrip_air
Cagliari,ITA000CAG000,ctrip_air
Genoa,ITA000CAX000,ctrip_air
Winnipeg,CAN000WNP000,ctrip_air
Auckland,USA0CAOAK000,ctrip_air
Des Moines,USA0IADSM000,ctrip_air
Maureen,USAAP0008000,ctrip_air
Oklahoma City,USAAP0009000,ctrip_air
Aalborg,DNK000001000,ctrip_air
Saskatoon,CAN000SAK000,ctrip_air
Hobart,AUSTASHBA000,ctrip_air
Wroclaw,POL000WRO000,ctrip_air
Bonn,DEU000005000,ctrip_air
Innsbruck,AUT000003000,ctrip_air
Davao,PHL000DOR000,ctrip_air
Charlotte,USA0NCCRQ000,ctrip_air
Baltimore,USA0MDBAL000,ctrip_air
Gdansk,POL000GDN000,ctrip_air
Lille,FRA000LLE000,ctrip_air
Poznan,POL000POZ000,ctrip_air
Norwich,GBR000003000,ctrip_air
Kota Palembang,IDN000009000,ctrip_air
Thoreau,IDN000010000,ctrip_air
Trujillo,VEN00000T000,ctrip_air
Ryan,FRA000002000,ctrip_air
Cardiff,GBR000004000,ctrip_air
Kristiansand,NOR000022000,ctrip_air
Khon Kaen,THA000040000,ctrip_air
Udon Thani,THA000041000,ctrip_air
Surat Thani,THA000003000,ctrip_air
Hatyai,THA000004000,ctrip_air
Trang,THA000092000,ctrip_air
Guayaquil,ECU000001000,ctrip_air
Nantes,FRA000NTE000,ctrip_air
Pulau Pangkor,MYS000005000,ctrip_air
Sambo,IDN000011000,ctrip_air
Alexander,EGY000ALY000,ctrip_air
Songkhla,THA000090000,ctrip_air
Otax,THA000005000,ctrip_air
Matsuyama,JPN000057000,ctrip_air
Billund,DNK000002000,ctrip_air
Ajaccio,FRA000003000,ctrip_air
Avignon,FRA000004000,ctrip_air
Bastia,FRA000005000,ctrip_air
Biarritz,FRA000006000,ctrip_air
Clermont Ferrand,FRA000007000,ctrip_air
