code,vendor_type,alias
RUS000SPE000,standard_air,圣彼得堡
PAK000LHE000,standard_air,拉合尔
JPN000052000,standard_air,函馆
SAU000JED000,standard_air,吉达
IRL0000DB000,standard_air,都柏林
AUT000001000,standard_air,格拉茨
ARG000BUE000,standard_air,布宜诺斯艾利斯
MAR000CBL000,standard_air,卡萨布兰卡
LKA000CMB000,standard_air,科伦坡
USA000CMB000,standard_air,科伦坡
VEN00000A000,standard_air,加拉加斯
MEX000001000,standard_air,坎昆
PER0000CU000,standard_air,库斯科
TZA0000DS000,standard_air,达累斯萨拉姆
AUT000002000,standard_air,林茨
ZMB0000LK000,standard_air,卢萨卡
PAK000LYP000,standard_air,费萨拉巴德
KEN000MOM000,standard_air,蒙巴萨
LBY000002000,standard_air,班加西
NOR000021000,standard_air,卑尔根
KEN0000NA000,standard_air,内罗毕
PRT000VDP000,standard_air,波尔图
NOR000003000,standard_air,奥斯陆
PAK000PEW000,standard_air,白沙瓦
IRL0000CK000,standard_air,科克
CHE0000BE000,standard_air,伯尔尼
LBN0000BA000,standard_air,贝鲁特
PER0000LI000,standard_air,利马
GBRENGBST000,standard_air,布里斯托尔
SYR0000DI000,standard_air,大马士革
PRT000FAO000,standard_air,法鲁
AGO000LUA000,standard_air,罗安达
COD000001000,standard_air,金沙萨
COD000002000,standard_air,基桑加尼
DJI000000000,standard_air,吉布提
ZAF000PRY000,standard_air,比勒陀利亚
ZWE0000HA000,standard_air,哈拉雷
YEM0000SN000,standard_air,萨那
CHL0000RM000,standard_air,圣地亚哥
BLR0000MI000,standard_air,明斯克
SEN0000DA000,standard_air,达喀尔
BWA000001000,standard_air,哈博罗内
NER000NIM000,standard_air,尼亚美
JPN000053000,standard_air,新泻
IDN000003000,standard_air,那霸
JPN000054000,standard_air,德岛
JPN000039000,standard_air,高知
JPN000055000,standard_air,石垣
JPN000022000,standard_air,静冈
USA0NVRNO000,standard_air,里诺
USA0TXELP000,standard_air,埃尔帕索
USA0TXAUS000,standard_air,奥斯汀
