code,description,country,state,city,district,abbreviation
FIN000004000,,Finland,,Kittila ,,
FIN000005000,,Finland,,Kuopio ,,
FIN000006000,,Finland,,Rovaniemi ,,
NGA000001000,,Nigeria,,Sokoto ,,
JPN000058000,,Japan,,Komatsu ,,
NZL000001000,,New Zealand,,Rotorua ,,
COL000002000,,Colombia,,Nare ,,
MYS000006000,,Malaysia,,Tioman ,,
USAAP0011000,,United States of America (USA),,Burbank ,,
USAAP0012000,,United States of America (USA),,Hayden ,,
USAAP0013000,,United States of America (USA),,Montrose ,,
USAAP0014000,,United States of America (USA),,Hollywood ,,
USAAP0015000,,United States of America (USA),,Wichita ,,
USAAP0016000,,United States of America (USA),,Steamboat Spr. ,,
USAAP0017000,,United States of America (USA),,Gunnison ,,
USAAP0018000,,United States of America (USA),,Kahului ,,
USAAP0019000,,United States of America (USA),,Kona ,,
USAAP0020000,,United States of America (USA),,State College ,,
USAAP0021000,,United States of America (USA),,Harrisburg ,,
USAAP0022000,,United States of America (USA),,Winston Salem ,,
USAAP0023000,,United States of America (USA),,St.Petersburg ,,
USAAP0024000,,United States of America (USA),,Fort Myers ,,
USAAP0025000,,United States of America (USA),,West Palm Beach ,,
USAAP0026000,,United States of America (USA),,Ft.Lauderdal ,,
USAAP0027000,,United States of America (USA),,Sacramento ,,
IRL000001000,,Ireland,,Shannon ,,
IRL000002000,,Ireland,,Wexford ,,
USAAP0028000,,United States of America (USA),,Mammoth Lakes ,,
CHE000001000,,Switzerland,,Saint Moritz ,,
ESP000010000,,Spain,,La Coruna ,,
GRC000001000,,Greece,,Patrai ,,
GBR000008000,,Great Britain (United Kingdom; England),,Enniskillen ,,
JPN000059000,,Japan,,Kita Kyushu ,,
USAAP0029000,,United States of America (USA),,Knoxville ,,
USAAP0030000,,United States of America (USA),,Huntsville ,,
USAAP0031000,,United States of America (USA),,Greenville ,,
NGA000002000,,Nigeria,,Abuja ,,
USAAP0032000,,United States of America (USA),,South Bend ,,
COL000003000,,Colombia,,Carimagua ,,
BRA000003000,,Brazil,,Iguassu Falls ,,
AUS000001000,,Australia,,Meekatharra ,,
USAAP0033000,,United States of America (USA),,Syracuse ,,
COD000003000,,Democratic Republic of the Congo,,Lubumbashi ,,
PHL000002000,,The Philippines,,General Santos ,,
IND000005000,,India,,Khajuraho ,,
UKR000001000,,Ukraine,,Lwo Lviv ,,
UKR000002000,,Ukraine,,Dnepropetrovsk ,,
RUS000003000,,Russian Federation,,Rostov ,,
USAAP0034000,,United States of America (USA),,Bloomington Normal ,,
USAAP0035000,,United States of America (USA),,Traverse City ,,
USAAP0036000,,United States of America (USA),,Joplin ,,
USAAP0037000,,United States of America (USA),,La Cross ,,
DNK000003000,,Denmark,,Karup ,,
CHE000002000,,Switzerland,,Lugano ,,
AUS000002000,,Australia,,Alice Springs ,,
USAAP0038000,,United States of America (USA),,Roanoke ,,
USAAP0039000,,United States of America (USA),,Pensacola ,,
ETH000001000,,Ethiopia,,Asmara ,,
DEU000006000,,Germany,,Heidelberg ,,
USAAP0040000,,United States of America (USA),,Champaign ,,
USAAP0041000,,United States of America (USA),,Angola ,,
USAAP0042000,,United States of America (USA),,Beaumont ,,
USAAP0043000,,United States of America (USA),,Mcallen ,,
USAAP0044000,,United States of America (USA),,Lafayette ,,
MYS000007000,,Malaysia,,Miri ,,
ARE000001000,,United Arab Emirates,,Ras Al Khaimah ,,
AUS000003000,,Australia,,Broome ,,
AUS000004000,,Australia,,Busselton ,,
AUS000005000,,Australia,,Hervey Bay ,,
AUS000006000,,Australia,,Mackay ,,
BEL000001000,,Belgium,,Ostende ,,
BRA000004000,,Brazil,,Maceio ,,
BRA000005000,,Brazil,,Natal ,,
CAN000004000,,Canada,,Whistler ,,
CAN000005000,,Canada,,Jasper ,,
CAN000006000,,Canada,,Kamloops ,,
CZE000001000,,Czech Republic,,Brno ,,
DEU000007000,,Germany,,Aachen ,,
EGY000001000,,Egypt,,Hurghada ,,
EGY000002000,,Egypt,,Sharm El Sheikh ,,
EGY000003000,,Egypt,,Taba ,,
ESP000011000,,Spain,,San?Sebastian ,,
ESP000012000,,Spain,,Logrono ,,
FJI000001000,,Fiji,,Suva ,,
GBR000009000,,Great Britain (United Kingdom; England),,Gloucester ,,
GBR000010000,,Great Britain (United Kingdom; England),,Harrogate ,,
GBR000011000,,Great Britain (United Kingdom; England),,Londonderry ,,
GBR000012000,,Great Britain (United Kingdom; England),,Newquay ,,
GRC000002000,,Greece,,Rhodes ,,
IDN000012000,,Indonesia,,Batam ,,
IND000006000,,India,,Goa ,,
IND000007000,,India,,Jaisalmer ,,
IND000008000,,India,,Varanasi ,,
ITA000002000,,Italy,,Alghero ,,
ITA000003000,,Italy,,Lucca ,,
ITA000004000,,Italy,,San Giovanni Rotondo ,,
ITA000005000,,Italy,,Vicenza ,,
MEX000002000,,Mexico,,Ixtapa ,,
MEX000003000,,Mexico,,Playa Del Carmen ,,
NOR000025000,,Norway,,Tromso ,,
NZL000002000,,New Zealand,,Mount Cook ,,
NZL000003000,,New Zealand,,Te Anau ,,
