alias,code,vendor_type
渥太华,CAN000OTT000,ctrip_air
杜塞尔多夫,DEU000DUS000,ctrip_air
汉堡,DEU0000HH000,ctrip_air
纽伦堡,DEU000NUE000,ctrip_air
斯图加特,DEU000STR000,ctrip_air
阿布扎比,ARE0000AZ000,ctrip_air
里约热内卢,BRA0000RJ000,ctrip_air
蒙得维的亚,URY0000MO000,ctrip_air
匹兹堡,USA0PAPIT000,ctrip_air
巴利阿多里德,ESP000001000,ctrip_air
圣地亚哥德,ESP000002000,ctrip_air
尼斯,FRA000NCE000,ctrip_air
贝尔法斯特,GBRNIRBFS000,ctrip_air
根西岛,GBR000001000,ctrip_air
格拉斯哥,GBRSCTGLG000,ctrip_air
卡诺,NGA000KAN000,ctrip_air
拉各斯,NGA000LOS000,ctrip_air
毛里求斯,MUS000000000,ctrip_air
维尔纽斯,LTU0000VI000,ctrip_air
利雅得,SAU0000RD000,ctrip_air
索非亚,BGR000GSO000,ctrip_air
喀布尔,AFG000KBL000,ctrip_air
金斯敦,JAM000KIN000,ctrip_air
拜达,LBY000001000,ctrip_air
圣彼得堡,RUS000SPE000,ctrip_air
拉合尔,PAK000LHE000,ctrip_air
函馆,JPN000052000,ctrip_air
吉达,SAU000JED000,ctrip_air
都柏林,IRL0000DB000,ctrip_air
格拉茨,AUT000001000,ctrip_air
布宜诺斯艾利斯,ARG000BUE000,ctrip_air
卡萨布兰卡,MAR000CBL000,ctrip_air
科伦坡,LKA000CMB000,ctrip_air
科伦坡,USA000CMB000,ctrip_air
加拉加斯,VEN00000A000,ctrip_air
坎昆,MEX000001000,ctrip_air
库斯科,PER0000CU000,ctrip_air
达累斯萨拉姆,TZA0000DS000,ctrip_air
林茨,AUT000002000,ctrip_air
卢萨卡,ZMB0000LK000,ctrip_air
费萨拉巴德,PAK000LYP000,ctrip_air
蒙巴萨,KEN000MOM000,ctrip_air
班加西,LBY000002000,ctrip_air
卑尔根,NOR000021000,ctrip_air
内罗毕,KEN0000NA000,ctrip_air
波尔图,PRT000VDP000,ctrip_air
奥斯陆,NOR000003000,ctrip_air
白沙瓦,PAK000PEW000,ctrip_air
科克,IRL0000CK000,ctrip_air
伯尔尼,CHE0000BE000,ctrip_air
贝鲁特,LBN0000BA000,ctrip_air
利马,PER0000LI000,ctrip_air
布里斯托尔,GBRENGBST000,ctrip_air
大马士革,SYR0000DI000,ctrip_air
法鲁,PRT000FAO000,ctrip_air
罗安达,AGO000LUA000,ctrip_air
金沙萨,COD000001000,ctrip_air
基桑加尼,COD000002000,ctrip_air
吉布提,DJI000000000,ctrip_air
比勒陀利亚,ZAF000PRY000,ctrip_air
哈拉雷,ZWE0000HA000,ctrip_air
萨那,YEM0000SN000,ctrip_air
圣地亚哥,CHL0000RM000,ctrip_air
明斯克,BLR0000MI000,ctrip_air
达喀尔,SEN0000DA000,ctrip_air
哈博罗内,BWA000001000,ctrip_air
尼亚美,NER000NIM000,ctrip_air
新泻,JPN000053000,ctrip_air
那霸,IDN000003000,ctrip_air
