code,description,country,state,city,district,abbreviation
CHN015025022,,China,Inner Mongolia,Xilinguole,Abagaqi,
CHN051032031,,China,Sichuan,Aba,Abaxian,
CHN023001012,,China,Heilongjiang,Haerbin,Achengqu,
CHN015022002,,China,Inner Mongolia,Xingan,Aershanshi,
CHN065030023,,China,Xinjiang,Kezilesu,Aheqixian,
CHN023011002,,China,Heilongjiang,Heihe,Aihuiqu,
CHN023010004,,China,Heilongjiang,Mudanjiang,Aiminqu,
CHN062009024,,China,Gansu,Jiuquan,Akesaihasakezuzizhixian,
CHN065029001,,China,Xinjiang,Akesu,Akesushi,
CHN065030022,,China,Xinjiang,Kezilesu,Aketaoxian,
CHN015029022,,China,Inner Mongolia,Alashan,Alashanyouqi,
CHN015029021,,China,Inner Mongolia,Alashan,Alashanzuoqi,
CHN065043001,,China,Xinjiang,Aletai,Aletaishi,
CHN015004021,,China,Inner Mongolia,Chifeng,Alukeerqinqi,
CHN013010002,,China,Hebei,Langfang,Anciqu,
CHN023012081,,China,Heilongjiang,Suihua,Andashi,
CHN062011002,,China,Gansu,Dingxi,Andingqu,
CHN054024025,,China,Tibet,Naqu,Anduoxian,
CHN036008029,,China,Jiangxi,Jian,Anfuxian,
CHN023002005,,China,Heilongjiang,Qiqihaer,Angangxiqu,
CHN054023027,,China,Tibet,Rikaze,Angrenxian,
CHN013006083,,China,Hebei,Baoding,Anguoshi,
CHN043009023,,China,Hunan,Yiyang,Anhuaxian,
CHN051009004,,China,Sichuan,Suining,Anjiqu,
CHN033005023,,China,Zhejiang,Huzhou,Anjixian,
CHN052023028,,China,Guizhou,Qianxinan,Anlongxian,
CHN042009082,,China,Hubei,Xiaogan,Anlushi,
CHN062001005,,China,Gansu,Lanzhoushi,Anningqu,
CHN053001081,,China,Yunnan,Kunming,Anningshi,
CHN013011025,,China,Hebei,Hengshui,Anpingxian,
CHN037007084,,China,Shandong,Weifang,Anqiushi,
CHN043010028,,China,Hunan,Chenzhou,Anrenxian,
CHN061006024,,China,Shaanxi,Yanan,Ansaixian,
CHN022024026,,China,Jilin,Yanbian,Antuxian,
CHN051007024,,China,Sichuan,Mianyang,Anxian,
CHN043007021,,China,Hunan,Changde,Anxiangxian,
CHN013006032,,China,Hebei,Baoding,Anxinxian,
CHN035005024,,China,Fujian,Quanzhou,Anxixian,
CHN041005022,,China,Henan,Anyang,Anyangxian,
CHN036001023,,China,Jiangxi,Nanchang,Anyixian,
CHN036003002,,China,Jiangxi,Pingxiang,Anyuanqu,
CHN036007026,,China,Jiangxi,Ganzhou,Anyuanxian,
CHN051020021,,China,Sichuan,Ziyang,Anyuexian,
CHN014010026,,China,Shanxi,Linfen,Anzexian,
CHN015004030,,China,Inner Mongolia,Chifeng,Aohanqi,
CHN015007021,,China,Inner Mongolia,Hulunbeier,Arongqi,
CHN065030001,,China,Xinjiang,Kezilesu,Atushishi,
CHN065029028,,China,Xinjiang,Akesu,Awatixian,
CHN045011002,,China,Guangxi,Hezhou,Babuqu,
CHN065031030,,China,Xinjiang,Kashi,Bachuxian,
CHN022006002,,China,Jilin,White Mountain ,Badaojiangqu,
CHN042028023,,China,Hubei,Enshi,Badongxian,
CHN034004005,,China,Anhui,Huainan,Bagongshanqu,
CHN065029026,,China,Xinjiang,Akesu,Baichengxian,
CHN061009029,,China,Shaanxi,Ankang,Baihexian,
CHN065002004,,China,Xinjiang,Kelamayi,Baijiantanqu,
CHN054023029,,China,Tibet,Rikaze,Bailangxian,
CHN023002031,,China,Heilongjiang,Qiqihaer,Baiquanxian,
CHN061005027,,China,Shaanxi,Weinan,Baishuixian,
CHN021010002,,China,Liaoning,Liaoyang,Baitaqu,
CHN013005024,,China,Hebei,Xingtai,Baixiangxian,
CHN032001003,,China,Jiangsu,Nanjing,Baixiaqu,
CHN062004002,,China,Gansu,Baiyin,Baiyinqu,
CHN015002006,,China,Inner Mongolia,Baotou,Baiyunebokuangqu,
CHN044001011,,China,Guangdong,Guangzhou,Baiyunqu,
CHN052001013,,China,Guizhou,Guiyang,Baiyunqu,
CHN051033031,,China,Sichuan,Ganzi,Baiyuxian,
CHN065022022,,China,Xinjiang,Hami,Balikunhasakezizhixian,
CHN015004023,,China,Inner Mongolia,Chifeng,Balinyouqi,
